time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1656288730,34718e,40.08901822364936,0.4901400479403409,215.76863210816884,232.55634405643943,5.52704,IBE2601 ,False,False,False,417.0,9601.2,10073.64,1656288729.812,1656288729.982
1656288740,34718e,40.077100850768005,0.4699776389382102,214.95265504370423,232.38960454979036,5.52704,IBE2601 ,False,False,False,417.0,9654.54,10126.98,1656288739.939,1656288740.0
1656288750,34718e,40.06558227539063,0.450439453125,214.23118431789655,232.41463029097469,5.20192,IBE2601 ,False,False,False,417.0,9707.88,10180.320000000002,1656288749.672,1656288749.968
1656288760,34718e,40.05382473185911,0.4305891557173295,213.82374576189605,232.330550021342,4.8768,IBE2601 ,False,False,False,417.0,9761.22,10241.28,1656288759.608,1656288759.863
1656288770,34718e,40.0417677022643,0.4102394797585227,213.5097547389252,232.43982515629088,4.55168,IBE2601 ,False,False,False,417.0,9806.94,10287.0,1656288769.897,1656288769.897
1656288780,34718e,40.03031585176112,0.3908885609019886,213.10217875782888,232.3555083959612,4.55168,IBE2601 ,False,False,False,417.0,9852.66,10332.72,1656288779.774,1656288779.776
1656288790,34718e,40.01861572265625,0.3712158203125,212.3806524651808,232.38063635884083,4.55168,IBE2601 ,False,False,False,417.0,9898.38,10378.44,1656288789.754,1656288789.836
1656288800,34718e,40.0072259418035,0.3519370339133523,211.9734025171792,232.2957567786092,4.55168,IBE2601 ,False,False,False,417.0,9944.1,10424.16,1656288799.492,1656288799.667
1656288810,34718e,39.99535512115995,0.3319618918678977,211.659167300296,232.4059356345965,4.22656,IBE2601 ,False,False,False,417.0,9989.82,10469.88,1656288809.855,1656288809.997
1656288820,34718e,39.983903270656775,0.3126109730113636,211.2517792604056,232.3208149186645,3.90144,IBE2601 ,False,False,False,417.0,10035.54,10515.6,1656288819.708,1656288819.926
1656288830,34718e,39.9722900390625,0.29302978515625,211.2517792604056,232.3208149186645,0.97536,IBE2601 ,False,False,False,417.0,10050.78,10538.46,1656288829.654,1656288829.927
1656288840,34718e,39.96052551269531,0.2733154296875,211.9734025171792,232.2957567786092,0.32512,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656288839.718,1656288839.864
1656288850,34718e,39.94898986816406,0.25390625,211.9734025171792,232.2957567786092,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656288849.641,1656288849.803
1656288860,34718e,39.93735103283898,0.2343333851207386,211.9734025171792,232.2957567786092,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656288859.67,1656288859.901
1656288870,34718e,39.925619868908896,0.2145455100319602,211.566619562592,232.2105506117825,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656288869.816,1656288869.897
1656288880,34718e,39.91407491393008,0.19525146484375,211.566619562592,232.2105506117825,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656288879.777,1656288879.828
1656288890,34718e,39.90252995895127,0.17596435546875,211.566619562592,232.2105506117825,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656288889.589,1656288889.834
1656288900,34718e,39.890566033832094,0.15582275390625,211.566619562592,232.2105506117825,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656288899.891,1656288899.932
1656288910,34718e,39.87890625,0.136314060377038,211.566619562592,232.2105506117825,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656288909.854,1656288909.951
1656288920,34718e,39.86737060546875,0.1170282778532608,211.566619562592,232.2105506117825,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656288919.7,1656288919.92
1656288930,34718e,39.855377197265625,0.0969662873641304,211.566619562592,232.2105506117825,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656288929.967,1656288929.967
1656288940,34718e,39.8442931094412,0.07843017578125,211.566619562592,232.2105506117825,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656288939.614,1656288939.663
1656288950,34718e,39.832282632084215,0.058349609375,211.566619562592,232.2105506117825,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656288949.879,1656288949.964
1656288960,34718e,39.8207376771054,0.0390625,211.16030630029235,232.1250163489018,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656288959.781,1656288959.859
1656288970,34718e,39.80900651317532,0.01947021484375,211.16030630029235,232.1250163489018,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656288969.885,1656288969.963
1656288980,34718e,39.797607421875,0.0004179581351902,210.84485927899183,232.23536545612097,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656288979.636,1656288979.831
1656288990,34718e,39.78549763307733,-0.01971435546875,210.43841007127685,232.149585721115,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656288989.986,1656288989.986
1656289000,34718e,39.77407836914063,-0.0386909816576235,210.75446544683768,232.0391524747106,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656288999.828,1656288999.881
1656289010,34718e,39.76259393207097,-0.057861328125,210.75446544683768,232.0391524747106,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289009.823,1656289009.873
1656289020,34718e,39.75104897709216,-0.0770263671875,210.75446544683768,232.0391524747106,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289019.625,1656289019.7
1656289030,34718e,39.739085051972985,-0.096923828125,210.34909973657972,231.9529574681739,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289029.919,1656289029.996
1656289040,34718e,39.7276611328125,-0.1158341117526902,210.34909973657972,231.9529574681739,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289039.767,1656289039.811
1656289050,34718e,39.71627445544227,-0.13470458984375,210.34909973657972,231.9529574681739,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289049.544,1656289049.849
1656289060,34718e,39.70417785644531,-0.1548236349354397,210.34909973657972,231.9529574681739,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289059.926,1656289059.951
1656289070,34718e,39.69285867981991,-0.17352294921875,210.34909973657972,231.9529574681739,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289069.724,1656289069.8
1656289080,34718e,39.68112751588983,-0.1929931640625,210.34909973657972,231.9529574681739,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289079.756,1656289079.885
1656289090,34718e,39.669708251953125,-0.2119047745414377,210.34909973657972,231.9529574681739,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289089.603,1656289089.838
1656289100,34718e,39.6580376059322,-0.23114013671875,210.34909973657972,231.9529574681739,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289099.537,1656289099.996
1656289110,34718e,39.64595031738281,-0.2511928392493132,210.34909973657972,231.9529574681739,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289109.928,1656289109.928
1656289120,34718e,39.634528725834215,-0.27001953125,210.34909973657972,231.9529574681739,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289119.736,1656289119.912
1656289130,34718e,39.6229837708554,-0.2890625,210.34909973657972,231.9529574681739,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289129.622,1656289129.712
1656289140,34718e,39.6112060546875,-0.30853271484375,210.34909973657972,231.9529574681739,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289139.764,1656289139.938
1656289150,34718e,39.5994283385196,-0.32794189453125,210.34909973657972,231.9529574681739,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289149.799,1656289149.894
1656289160,34718e,39.587650622351696,-0.34735107421875,210.34909973657972,231.9529574681739,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289159.92,1656289159.98
1656289170,34718e,39.57600402832031,-0.3666089928668157,210.34909973657972,231.9529574681739,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289169.957,1656289169.957
1656289180,34718e,39.56465148925781,-0.3852379840353137,210.66654536898653,231.84277341263092,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289179.575,1656289179.647
1656289190,34718e,39.55296920517743,-0.40447998046875,210.66654536898653,231.84277341263092,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289189.572,1656289189.816
1656289200,34718e,39.541191489009535,-0.42388916015625,210.66654536898653,231.84277341263092,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289199.658,1656289199.865
1656289210,34718e,39.52949523925781,-0.4430953316066279,210.66654536898653,231.84277341263092,0.0,IBE2601 ,False,False,False,417.0,10058.4,10546.08,1656289209.717,1656289209.912
